,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Era Report 3062,13,3055,8,25,,,,The assassin who killed Melissa Steiner-Davion is captured by intelligence services on Solaris VII.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,25,,,,"An AFFS force sent on a punitive raid to Highspire is reportedly eradicated by two hybrid Manei Domini-Thugee ""Warrior Houses"" on planet.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,25,,,,An AFFS force sent on a punitive raid to Highspire is reportedly eradicated by two hybrid Manei Domini-Thugee “Warrior Houses” on planet.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,25,3078,8,30,"After falling back from Hilton Head, Stone’s forces move to regroup near Dallas, but intercept Blakist forces outside Little Rock. Heavy damage forces the allies to camp at Little Rock after the enemy retreats.",,,,,,,
Field Manual - Update,11,3063,8,26,,,,Clan Star Adder makes its first assault on York,,,,,,,
Era Report 3145,18,3135,8,26,,,,Senate forces battle Dragon’s Fury on Ronel.,,,,,,,
Field Manual - 3145,23,3135,8,26,,,,Senate forces battle Dragon’s Fury on Ronel.,,,,,,,
Era Report 2750,20,2743,8,27,,,,Cameron cancels the autumn and winter council sessions and sends high-level officials to the House capitals to negotiate.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3071,8,27,,,,"Democracy Now upheavals continue to spread through the Lyran Alliance’s Alarion Province, with Mercedes, Aiguebelle, Mezzana, Vermezzo, and Virtue all experiencing demonstrations.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,27,,,,"Democracy Now upheavals continue to spread through the Lyran Alliance’s Alarion Province, with Mercedes, Aiguebelle, Mezzana, Vermezzo, and Virtue all experiencing demonstrations.",,,,,,,
Era Report 3145,24,3144,8,27,,,,Duke Corwin Sandoval killed defending his capital city on Robinson.,,,,,,,
Field Manual - 3145,25,3144,8,27,,,,Duke Corwin Sandoval killed defending his capital city on Robinson.,,,,,,,
House Book House Davion,55,2796,8,28,,,,Prince John Davion orders a total retreat from Kentares IV.,,,,,,,
Field Manual - Update,14,3067,8,28,,,,"Duchess Alys Marik calls for the repeal of Resolution 288, marking the start of the Great Debate in the FWL Parliament",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,8,28,,,,"After a devastating friendly-fire incident in which Com Guard artillery struck a Ryuken-ni position, killing the commanders of the elite DCMS regiment, the Combine troops attack their Coalition allies.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,58,3078,8,28,,,,"Elite Word of Blake teams destroy the Athens spaceport, igniting a conflagration that consumes the historic city.",,,,,,,
Era Digest: Dark Age,10,3133,8,28,,,,Stormhammers raid Towne and other worlds to spread Kelswa-Steiner’s proclamation.,,,,,,,
Field Manual - 3145,23,3133,8,28,,,,Stormhammers raid Towne and other worlds to spread Kelswa-Steiner’s proclamation.,,,,,,,
Field Manual - Update,14,3067,8,29,,,,Adam Steiner named LAAF General of the Armies,,,,,,,
Dark Age - Shattered Fortress,100,3149,8,29,,,,"Damien Redburn opposes Stone’s request to rejoin the Republic. After a short firefight on Callison, former Exarch Jonah Levin’s task force apprehends Redburn and takes him to Terra for court-martial. The Republic claims the remainder of the Remnant.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3071,8,30,,,,"On Canopus IV, the Ramilie’s Raiders mercenary command is destroyed while helping MAF commander Hadji Doru escape from the occupied capital city.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,30,,,,"On Canopus IV, the Ramilie’s Raiders mercenary command is destroyed while helping MAF commander Hadji Doru escape from the occupied capital city.",,,,,,,
Era Report 3145,20,3137,8,30,,,,Lyrans invade Millungera.,,,,,,,
Field Manual - 3145,24,3137,8,30,,,,Lyrans invade Millungera.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,8,31,,,,"Forces from the Buena Archonette begin attacking several planets in the Free Worlds League, sparking outrage from both the Duchy of Tamarind and Tharkad.",,,,,,,
Era Report 3145,23,3143,8,31,,,,Katherine Steiner-Davion dies on Gienah.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,17,3075,8,14 to 28,,,,"Ghost Bear forces advance through Combine space, ignoring all hails. Their first strikes land on the Blakist-held worlds of Cebalrai, Vega, Eltanin, Alya. A second wave hits Kaus Borealis.",,,,,,,
Era Report 3052,16,3050,8,Late,,,,Ilkhan showers allows the use of Provisional Garrison Clusters (PGCs) on Inner sphere worlds to free up more frontline units for the invasion.,,,,,,,
Era Report 3145,18,3135,8,Mid,,,,Renewed Capellan offensive based off Liao.,,,,,,,
Field Manual - 3145,23,3135,8,Mid,,,,Renewed Capellan offensive based off Liao.,,,,,,,
Handbook House Liao,13,2367,8,,,,,"Davion forces occupy Capella Prime on Capella. Confederation naval assets destroy Capella Prime and the occupying Davion troops, along with thousands of Capellan civilians. The Confederation capital shifts to Sian, and Franco Liao moves to build his Confederation.",,,,,,,
Historical - Liberation of Terra I,30,2753,8,,,,,Stefan Amaris meets Richard Cameron for the first time.,,,,,,,
Historical - Liberation of Terra I,30,2767,8,,,,,Rim Worlds Republic invaded.,,,,,,,
Historical - Operation Klondike,101,2767,8,,,,,The SLDF begins the invasion of the Rim Worlds Republic,,,,,,,
Historical - Liberation of Terra I,30,2770,8,,,,,Conquest of the Rim Worlds completed.,,,,,,,
Historical - Operation Klondike,101,2770,8,,,,,The conquest of the Rim Worlds Republic is complete; the SLDF begins rearming and refitting for the eventual campaign to liberate the Terran Hegemony,,,,,,,
Historical - First Succession War,114,2781,8,,,,,Robert Steiner II dies,,,,,,,
Historical - Operation Klondike,101,2783,8,,,,,The five House lords each call for General Kerensky’s resignation after he tries to block their ability to recruit SLDF troops into their own armies,,,,,,,
Era Digest: Golden Century,8,2785,8,,,,,Fighting erupts between Lyran Commonwealth and Draconis Combine,,,,,,,
Handbook House Steiner,37,2785,8,,,,,"Unmarked Combine forces attack Bone-Norman. LCAF moves to counter ""bandit"" threat, stripping defenses from other Combine border worlds.",,,,,,,
Historical - First Succession War,114,2785,8,,,,,"Unmarked DCMS forces attack Bone-Norman, drawing LCAF forces to deter ""bandit"" threat",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",30,2785,8,,,,,Fighting breaks out between the Lyran Commonwealth and the Draconis Combine.,,,,,,,
Historical - First Succession War,115,2804,8,,2804,9,,"CCAF reclaims Lukla, Sappho, and Shuen Wan",,,,,,,
Historical - First Succession War,115,2805,8,,,,,"Duke Allison arrives on Atreus, reaffirms Resolution 288",,,,,,,
Historical - Second Succession War,80,2830,8,,,,,"As Commonwealth units scramble to face a looming Combine threat, the Free Worlds League invades New Hope, Senftenberg, and Zwenkau; The FWLM follows a strategy similar to that of the Combine, raiding nearby border worlds to throw off and weaken those planets’ defending forces",,,,,,,
Historical - Second Succession War,81,2837,8,,,,,"LCAF forces launch a new campaign against the Free Worlds League; Initial targets include Zosma, Callison, and Marcus, but eventually expand to include Bordon, Shiloh, Oliver, and Graham IV.",,,,,,,
Historical - Second Succession War,81,2838,8,,2838,10,,"Commonwealth offensives launched against Shiloh, Oliver and Graham IV",,,,,,,
Historical - Second Succession War,81,2838,8,,,,,"Fifth Battle of Hesperus II. The DCMS is repulsed, marking the end of the raiding campaign originally launched by Coordinator Jinjiro",,,,,,,
Historical - Second Succession War,82,2858,8,,,,,AFFS abandons Robinson.,,,,,,,
House Book House Davion,61,2858,8,,,,,DCMS captures Robinson.,,,,,,,
Historical - Brush Wars,18,2991,8,,,,,Stephan Marik dies of cancer.,,,,,,,
Scenario Pack - Sorensons Sabres,10,3022,8,,3023,4,,"Sorenson's Sabres serve garrison duty on the capital Luthien. Except for one minor incident, the assignment is uneventful.",,,,,,,
House Book House Davion,71,3024,8,,,,,The First Alliance Games are held on New Earth.,,,,,,,
House Book House Davion,71,3025,8,,,,,Second Alliance Games are held.,,,,,,,
Scenario Pack - Sorensons Sabres,10,3025,8,,3026,10,,"The entire 5th Sword of Light Regiment (including Sorenson's Sabres) is massed for an offensive along the Davion border. During this time, the regiment makes a dozen attacks against worlds of the Federated Suns, with the Sabres leading the way more often than not.",,,,,,,
House Book House Davion,79,3026,8,,,,,Operation GALAHAD maneuvers.,,,,,,,
House Book House Davion,79,3027,8,,,,,Operations GALAHAD and THOR maneuvers.,,,,,,,
Handbook House Liao,53,3028,8,,,,,"Hanse Davion marries Melissa Steiner of the Lyran Commonwealth and launches the Fourth Succession War, an attack into the Confederation by the AFFS and into the Draconis Combine by the LCAF. The attacks are a complete surprise, and both realms make stunning early gains.",,,,,,,
House Book House Davion,79,3028,8,,,,,Operations GALAHAD and THOR maneuvers.,,,,,,,
Scenario Pack - Kell Hounds,14,3028,8,,,,,The Fourth Succession War begins.,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,8,,,,,"Wolf posts Alpha Regiments to Glenmora, Beta and Delta to Wapakoneta, and Gamma and Epsilon to remain on Harrow's Sun.",,,,,,,
Era Report 3052,14,3049,8,,,,,"The first Clan forces appear in the Periphery and make short work of any defending forces. Clan Wolf attacks and seizes blackstone, Drask’s Den, Placida, Ferris, The rock, butte Hold, Crellacor, Gustrell, oberon vI, Paulus Prime and sigurd. The Jade Falcons occupy botany bay, lackhove, Erewhon, von strang’s World, last Chance and Gotterdammerung; the Ghost bears Porthos, Elissa, Manaringaine and nyserta; and Clan smoke Jaguar santander’s World. Lasted until September.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3049,8,,,,,First contact between advance Clan units and Periphery forces.,3049: First contact between advance Clan units and Periphery forces.,,,,,,
Era Report 3052,16,3050,8,,,,,"The smoke Jaguars and Ghost bears begin their Fourth Wave. smoke Jaguar: bangor, byesville, Courchevel, Jeronimo, luzerne, Wolcott. Ghost bear: Casere, Goito, Jezersko, Pomme De Terre, Predlitz, soverzene, spittal, vipaava.",,,,,,,
Era Report 3062,12,3053,8,,,,,ComStar Explorer Corps Coreward Operations headquarters announces its relocation to Columbus.,,,,,,,
Era Report 3062,27,3062,8,,,,,"The Trinity Alliance, between the Capellan Confederation, the Magistracy of Canopus and the Taurian Concordat, is formed.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,8,,,,,Clan Ice Hellion successfully captures Evciler from Clan Jade Falcon.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,16,3071,8,,,,,Clan Ice Hellion successfully captures Evciler from Clan Jade Falcon.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,8,,3079,9,,"Lyran forces seize the worlds of Galisteo, Epsilon, Nockatunga, Bella I, Colfax, Cascade and Megrez from the now-defunct Free Worlds League. In an effort to prevent the outbreak of total war, Archon Adam Steiner issues a proclamation declaring any further ""unauthorized adventurism"" an act of treason.",,,,,,,
Historical - Wars of the Republic Era,15,3092,8,,,,,Resettlement riots break out on several former Capellan worlds. Senator Melissa Allard-Liao organizes a protest rally in Geneva.,,,,,,,
Field Manual - 3145,23,3136,8,,,,,Republic Standing Guard absorbed into Republic Armed Forces.,,,,,,,
Field Manual - 3145,24,3139,8,,,,,War Academy of Mars reopens.,,,,,,,
Dark Age - Shattered Fortress,99,3146,8,,3146,9,,"13 Aug to 9 Sep. The CCAF invades Marlette, but the arrival of Julian’s Sea Fox task force ambushes the Capellan fleet. The ground battle lasts the better part of the month before Danai Centrella-Liao brokers a ceasefire with Julian.",,,,,,,
Dark Age - Shattered Fortress,100,3148,8,,3148,10,,"Daoshen is shaken by Ki-Linn’s public suicide and refuses to offer Julian a formal peace treaty. However, both nations nonetheless stand down from further aggression against each other— Daoshen to focus on the Republic invasion he believes is imminent, and Julian to focus on liberating New Avalon and turning back the Combine invasion.",,,,,,,
Dark Age - Shattered Fortress,100,3148,8,,,,,"In protest of a formal peace treaty with the Federated Suns, Ki-Linn Liao and seven members of her personal household immolate themselves on the steps of the Forbidden Palace on Sian.",,,,,,,
Dark Age - Shattered Fortress,100,3148,8,,,,,"Julian Davion faces a Capellan counterattack on New Syrtis, led by Danai Centrella-Liao. Though the CCAF is forced to a stalemate, Julian is injured during the fighting. Danai negotiates a temporary ceasefire with Julian.",,,,,,,
Dark Age - Shattered Fortress,100,3148,8,,,,,"Toranaga sends the Hikage to take Remagen. The attack fails to break Operation PERCEVAL’s back, but the Hikage perform well.",,,,,,,
Dark Age - Shattered Fortress,100,3149,8,,3150,2,,The Marian Hegemony raids several Duchy of Tamarind-Abbey worlds.,,,,,,,
Dark Age - Shattered Fortress,100,3149,8,,,,,"The CCAF’s opening wave of TIAMAT hits Bryant, Epsilon Indi, and Liberty. The only significant Republic defense occurs on Liberty, deepening Daoshen’s suspicions.",,,,,,,
Dark Age - Shattered Fortress,101,3150,8,,,,,"Tamarind-Abbey takes Hazeldean, San Nicholas, Huntington, Lahti, and Landfall. The Marian Hegemony raids Sackville and Merton, and captures Aylmer and Tormentine.",,,,,,,
Historical - Operation Klondike,103,2807,9,1,,,,The Clan Trials of Position begin,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,177,3068,9,1,,,,"Jeremy Brett’s FWLM counterattack hits Alchiba, Milton, Phecda, Alchiba and Wyatt. The following day, League troops strike at Ford, Giausar and Loric, endangering the Skye/Bolan supply lines. Timbiqui and Poulsbo fall to League troops on the ?rd.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,9,1,,,,"Jeremy Brett’s FWLM counterattack hits Alchiba, Milton, Phecda, Alchiba and Wyatt. The following day, League troops strike at Ford and Giausar, and Loric, endangering the Skye/Bolan supply lines. Timbiqui and Poulsbo fall to League troops on 3 September.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,9,1,3069,9,28,"Blakist forces hit Achernar, Angol, Basalt, Castleton, Mirach, Schedar, Tikonov and Yangtze. Achernar, Angol, Basalt, Mirach, Schedar and Yangtze fall. Blakist mercenaries, however, fail to take Caselton despite several assaults, while Tikonov offers stiff resistance that includes the destruction of the local HPG. The Word also assaults Van Diemen IV, shattering the Third Oriente Hussars",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,18,3069,9,1,3069,9,28,"Blakist forces hit Achernar, Angol, Basalt, Caselton, Mirach, Schedar, Tikonov and Yangtze. Achernar, Angol, Basalt, Mirach, Schedar and Yangtze fall. Blakist mercenaries, however, fail to take Castleton despite several assaults, while Tikonov offers stiff resistance that includes the destruction of the local HPG. The Word also assaults Van Diemen IV, shattering the Third Oriente Hussars",,,,,,,
